data,data_ref,eixo_sentido,rota_principal,antecedencia,pax_atual,pax_referencia,diff_pax,grupos_atual,grupos_referencia,cash_atual,cash_referencia,gmv_atual,gmv_referencia,ticket_medio_atual,ticket_medio_referencia,lf_atual,lf_referencia,yield_atual,yield_referencia
2026-06-06,2026-04-04,RIO-BHZ,BHZ-RIO,31,19,13,6,4,4,3599.1,1745.7,3599.1,1871.7,189.4263157894737,134.2846153846154,0.091,0.062,0.424,0.296
2026-06-06,2026-04-04,BHZ-RIO,BHZ-RIO,31,6,2,4,4,3,745.31,70.9,756.4,141.8,124.21833333333335,35.45,0.028,0.013,0.283,0.081
2026-06-06,2026-04-04,BHZ-RIO,BHZ-RIO,30,6,4,2,4,3,745.31,138.8,756.4,303.6,124.21833333333335,34.7,0.028,0.026,0.283,0.078
2026-06-06,2026-04-04,RIO-BHZ,BHZ-RIO,30,19,14,5,4,4,3599.1,1818.6,3599.1,1944.6,189.4263157894737,129.9,0.091,0.067,0.424,0.287
2026-06-06,2026-04-04,RIO-BHZ,BHZ-RIO,29,19,14,5,4,4,3622.1,1618.6,3622.1,1744.6,190.63684210526318,115.61428571428571,0.091,0.066,0.427,0.257
2026-06-06,2026-04-04,BHZ-RIO,BHZ-RIO,29,7,4,3,4,3,862.21,138.8,873.3,303.6,123.17285714285715,34.7,0.033,0.026,0.28,0.078
2026-06-06,2026-04-04,BHZ-RIO,BHZ-RIO,28,7,4,3,4,3,862.21,138.8,873.3,303.6,123.17285714285715,34.7,0.033,0.026,0.28,0.078
2026-06-06,2026-04-04,RIO-BHZ,BHZ-RIO,28,19,19,0,4,4,3622.1,2323.1,3622.1,2449.1,190.63684210526318,122.26842105263158,0.091,0.089,0.427,0.273
2026-06-06,2026-04-04,BHZ-RIO,BHZ-RIO,27,9,4,5,4,3,1096.01,138.8,1107.1,303.6,121.77888888888889,34.7,0.042,0.026,0.277,0.078
2026-06-06,2026-04-04,RIO-BHZ,BHZ-RIO,27,19,23,-4,4,4,3622.1,2972.7,3622.1,3098.7,190.63684210526318,129.2478260869565,0.091,0.108,0.427,0.289
2026-06-06,2026-04-04,BHZ-RIO,BHZ-RIO,26,9,5,4,4,3,1096.01,210.7,1107.1,375.5,121.77888888888889,42.14,0.042,0.033,0.277,0.095
